test_month,train_start,train_end,n_train,n_test
2017-04,2017-01,2017-03,4971,2321
2017-05,2017-01,2017-04,7292,3578
2017-06,2017-01,2017-05,10870,3160
2017-07,2017-01,2017-06,14030,3940
2017-08,2017-01,2017-07,17970,4253
2017-09,2017-01,2017-08,22223,4196
2017-10,2017-01,2017-09,26419,4547
2017-11,2017-01,2017-10,30966,7386
2017-12,2017-01,2017-11,38352,5575
2018-01,2017-01,2017-12,43927,7182
2018-02,2017-01,2018-01,51109,6607
2018-03,2017-01,2018-02,57716,7096
2018-04,2017-01,2018-03,64812,6931
2018-05,2017-01,2018-04,71743,6863
2018-06,2017-01,2018-05,78606,6213
2018-07,2017-01,2018-06,84819,6260
2018-08,2017-01,2018-07,91079,6470
